Beta (v/c)	 Gamma 
0.0412		 1.00085 
0.0413		 1.00085 
0.0414		 1.00086 
0.0415		 1.00086 
0.0416		 1.00087 
0.0417		 1.00087 
0.0418		 1.00087 
0.0419		 1.00088 
0.042		 1.00088 
0.0421		 1.00089 
0.0422		 1.00089 
0.0423		 1.0009 
0.0424		 1.0009 
0.0425		 1.0009 
0.0426		 1.00091 
0.0427		 1.00091 
0.0428		 1.00092 
0.0429		 1.00092 
0.043		 1.00093 
0.0431		 1.00093 
0.0432		 1.00093 
0.0433		 1.00094 
0.0434		 1.00094 
0.0435		 1.00095 
0.0436		 1.00095 
0.0437		 1.00096 
0.0438		 1.00096 
0.0439		 1.00097 
0.044		 1.00097 
0.0441		 1.00097 
0.0442		 1.00098 
0.0443		 1.00098 
0.0444		 1.00099 
0.0445		 1.00099 
0.0446		 1.001 
0.0447		 1.001 
0.0448		 1.00101 
0.0449		 1.00101 
0.045		 1.00101 
0.0451		 1.00102 
0.0452		 1.00102 
0.0453		 1.00103 
0.0454		 1.00103 
0.0455		 1.00104 
0.0456		 1.00104 
0.0457		 1.00105 
0.0458		 1.00105 
0.0459		 1.00106 
0.046		 1.00106 
0.0461		 1.00106 
0.0462		 1.00107 
0.0463		 1.00107 
0.0464		 1.00108 
0.0465		 1.00108 
0.0466		 1.00109 
0.0467		 1.00109 
0.0468		 1.0011 
0.0469		 1.0011 
0.047		 1.00111 
0.0471		 1.00111 
0.0472		 1.00112 
0.0473		 1.00112 
0.0474		 1.00113 
0.0475		 1.00113 
0.0476		 1.00113 
0.0477		 1.00114 
0.0478		 1.00114 
0.0479		 1.00115 
0.048		 1.00115 
0.0481		 1.00116 
0.0482		 1.00116 
0.0483		 1.00117 
0.0484		 1.00117 
0.0485		 1.00118 
0.0486		 1.00118 
0.0487		 1.00119 
0.0488		 1.00119 
0.0489		 1.0012 
0.049		 1.0012 
0.0491		 1.00121 
0.0492		 1.00121 
0.0493		 1.00122 
0.0494		 1.00122 
0.0495		 1.00123 
0.0496		 1.00123 
0.0497		 1.00124 
0.0498		 1.00124 
0.0499		 1.00125 
0.05		 1.00125 
0.0501		 1.00126 
0.0502		 1.00126 
0.0503		 1.00127 
0.0504		 1.00127 
0.0505		 1.00128 
0.0506		 1.00128 
0.0507		 1.00129 
0.0508		 1.00129 
0.0509		 1.0013 
0.051		 1.0013 
0.0511		 1.00131 
0.0512		 1.00131 
