JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456340.206991,16.34,0.09,,B,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.16,Z,,15.07,,SN 2013E,AAVSO,STD,,,,
2456340.213464,15.18,0.02,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures. Aperture 6/22/32 1px=1.1&quot; ",0,1.18,Z,,14.45,,SN 2013E,AAVSO,STD,,,,
2456341.2264,<15.5,,,Vis.,PEX,,153,,10401GBD,,,,Z,,,,SN 2013E,RASNZ-VSS,STD,,,,
2456341.290544,15.185,0.038,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.588,Z,,13.287,,SN 2013E,AAVSO,STD,,,,
2456342.264664,15.274,0.092,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.400,Z,,13.238,,SN 2013E,AAVSO,STD,,,,
2456343.221134,15.445,0.134,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.187,Z,,13.331,,SN 2013E,AAVSO,STD,,,,
2456346.173588,15.530,0.048,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.071,Z,,13.252,,SN 2013E,AAVSO,STD,,,,
2456353.074315,16.97,0.05,,B,NLX,,Ensemble,144,10401FZM," 	Mag median sum 4x120s ",0,1.00,Z,,15.06,,SN 2013E,AAVSO,STD,,,,
2456353.081593,15.84,0.04,,V,NLX,,Ensemble,144,10401FZM," 	Mag ave 3 measures ",0,1.00,Z,,14.43,,SN 2013E,AAVSO,STD,,,,
2456353.150556,15.814,0.089,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,,0,1.063,Z,,13.368,,SN 2013E,AAVSO,STD,,,,
