ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i
1.350626,0.6681471,1.046626,1.308076,10.83379,5.020292,0.5239751
1.016201,0.2798271,0.5095177,0.6090717,3.970795,1.984998,0.8589605
1.572857,0.7662306,1.181003,1.50322,9.899653,4.128366,0.3939129
1.927053,0.9112225,1.300016,1.658197,5.343751,2.153553,0.7213227
1.892056,0.8408298,1.226948,1.557708,4.076699,1.778599,0.7337795
2.041359,0.8647594,1.274195,1.62958,4.573716,2.053684,0.6065205
1.867847,0.7978859,1.181081,1.485455,5.165435,2.117622,0.2758482
1.099455,0.3066387,0.561821,0.6113529,5.743226,2.763446,0.6677043
1.546595,1.745216,2.461063,2.961475,3.453262,1.60786,0.802131
2.497684,1.516024,2.055632,2.386255,5.135365,1.963218,0.9233062
1.266767,0.5281382,0.8476124,1.087094,7.146678,3.503233,0.8748797
4.027918,1.725107,2.40123,2.896191,4.064406,1.754159,0.8711586
1.037144,0.4198418,0.6797676,0.866478,7.864877,3.346713,0.1654929
1.94223,1.032928,1.45648,1.806816,3.777028,1.615738,0.8012351
2.747646,1.348701,1.988771,2.354734,1.672172,0.8264269,0.09986778
1.707174,0.7903214,1.126652,1.395943,3.980588,1.594745,0.8415864
1.960358,1.01811,1.43551,1.812202,5.584978,2.37426,0.9983933
1.80427,0.8019819,1.181864,1.494041,13.24963,5.983386,0.6463994
1.995602,0.8648911,1.37731,1.804652,11.33485,4.198316,0.1971019
1.616409,0.8302689,1.196072,1.46989,4.975833,2.100439,0.9194404
5.409929,1.57238,2.126846,2.477333,4.418689,1.765367,0.9986139
3.099455,1.710531,2.288446,2.615335,4.826968,2.068078,0.8306255
1.405611,0.6700325,1.020245,1.227129,6.603588,3.392418,0.758845
2.154573,1.192348,1.761801,2.166252,3.118281,1.468843,0.5321538
1.152712,0.4470291,0.710743,0.9294815,7.916678,3.638198,0.669862
2.314928,1.750957,2.335678,2.808134,3.602827,1.39325,0.8935016
1.107616,0.7144566,1.241516,1.513588,2.709057,1.250044,0.7313938
1.079386,0.6128845,1.01762,1.264866,4.702145,2.927876,0.6402507
0.8373299,1.865288,2.558155,2.914291,2.883742,1.441634,0.4511454
1.103594,0.7531796,1.14785,1.401991,4.533858,1.959471,0.7846222
1.607714,0.9035435,1.300255,1.611595,3.508616,1.656382,0.6417061
2.516356,1.626263,2.420746,2.788157,2.967063,1.387386,0.3255191
0.9600716,1.465868,2.410938,2.973434,3.361327,1.321695,0.8500194
0.218483,2.311108,3.440775,3.819088,3.039073,1.423164,0.4218444
1.601364,2.019459,3.083557,3.688185,2.565628,1.120112,0.968491
2.54414,1.753706,2.406662,2.868029,2.769078,1.233437,0.8186246
0.3927631,1.844166,3.082563,2.836535,3.249173,1.665298,0.8171363
2.812254,1.921589,2.45793,2.835175,3.183329,1.4238,0.8073246
2.819136,1.72588,2.862951,3.302134,2.759525,1.510669,0.9323106
3.880278,1.801584,2.496326,2.780525,2.631229,1.334401,0.8402566
1.845224,1.341547,2.494335,3.0198,2.514349,1.136957,0.5804405
2.178133,1.032782,1.751274,2.036083,7.358142,1.565657,0.5150571
1.857225,0.874958,1.310269,1.56598,5.100227,2.224089,0.7232268
2.596178,1.578781,2.520107,3.093014,2.63223,1.165497,0.4484372
2.1474,1.623241,2.260538,2.703392,2.730807,1.252324,0.3585599
1.858603,0.9054127,1.364218,1.661177,6.641626,2.84336,0.4171
0.4839745,1.432987,2.2787,2.562073,2.151291,1.066839,0.6856847
2.059822,1.415491,2.480482,2.973665,2.928604,1.235022,0.6021796
2.002363,1.642492,2.429222,2.850697,3.049088,1.262973,0.5370626
0.5486221,1.351536,2.391512,2.884674,3.177513,1.490033,0.5426556
2.24201,1.903254,3.160776,3.487135,6.444647,2.503228,0.3087924
1.921118,0.9506264,1.381178,1.742942,3.913052,1.767326,0.6103999
1.384203,0.6802521,1.084724,1.334656,3.351678,1.609048,0.5331852
1.992188,1.69099,2.320778,2.656652,4.562506,1.498497,0.8359243
0.4340687,0.7333241,1.546276,1.802513,4.396452,1.572844,0.8475109
2.451672,1.399044,2.185541,2.634544,3.517691,1.551436,0.6999691
3.699951,1.635393,2.550461,3.053923,2.314347,1.041375,0.9006809
1.384104,1.659372,2.650537,2.988506,2.969141,1.958586,0.2156334
2.628532,1.623383,2.459137,2.779102,2.186104,0.8639503,0.8976421
1.352341,0.6886044,1.078077,1.327932,4.013828,1.876029,0.8168804
0.8536415,0.1822701,0.4279633,0.486969,5.074739,1.688999,0.5583602
1.783756,0.8797722,1.301497,1.611359,9.124733,3.684542,0.8475685
1.831997,0.8928089,1.324507,1.675606,5.050311,2.21957,0.4098946
1.302195,1.668314,2.762602,3.265959,4.78898,1.519879,0.7584258
2.729631,1.3262,2.389278,2.72509,5.640183,2.876963,0.6501197
2.719072,1.709169,2.68079,3.123911,106.6973,1.730122,0.6591544
2.37356,1.964231,2.928778,3.537792,1.688173,0.8473517,0.2418493
3.307722,1.678822,2.624699,3.161642,3.016924,1.256852,0.803363
3.224367,1.738199,2.743874,3.146173,5.014832,2.217542,0.5510942
1.526646,1.465786,2.359303,2.714025,3.154185,1.172233,0.6679016
2.78973,1.567127,2.285669,2.726912,3.455909,1.542484,0.3506424
1.682636,0.8500443,1.313231,1.642168,4.753365,2.021096,0.5671918
3.349543,1.810408,2.886221,3.373655,4.217303,1.487677,0.6933402
1.623934,1.918613,3.024069,3.408052,2.969103,1.947064,0.7779323
1.960241,1.660162,3.033939,3.484465,43.75925,4.140832,0.6736863
-0.2691193,2.01931,3.135553,3.669693,6.903486,1.989778,0.5114667
1.166542,1.099913,2.011318,2.455454,3.51392,1.481831,0.5499927
1.918646,1.652203,2.434946,2.988539,3.502103,1.556852,0.8292711
2.4699,1.59379,2.669844,3.122288,2.44328,1.156821,0.6965974
2.748297,1.79402,2.699718,3.073978,1.966128,0.9110271,0.9765177
2.819866,1.667799,2.56492,2.925583,2.518497,1.27133,0.8070645
2.63352,1.542124,2.387152,2.91935,5.19206,1.28663,0.7661142
-0.03095818,1.582293,2.821789,3.369081,18.0206,1.085299,0.6266141
0.6519337,2.006498,3.127928,3.67391,2.621819,1.331753,0.4665225
2.656279,1.419216,2.646343,3.070715,3.975056,1.280696,0.7321026
2.173038,1.61237,2.361002,2.769245,2.40987,1.19044,0.7904932
0.6523628,1.821249,2.823711,3.322493,9.070888,2.053503,0.7196365
0.6670837,1.212263,2.310665,2.754625,2.649341,1.435118,0.4587283
1.048117,1.949242,2.714994,3.106585,4.616267,1.805552,0.484518
2.50407,1.662333,2.708382,3.155233,1.978176,1.092482,0.824896
2.145302,1.37388,2.018896,2.426033,4.612291,1.956612,0.2588678
1.445154,0.8356857,1.280075,1.546467,3.884613,1.679558,0.564824
2.199926,0.7933788,1.710432,2.491701,2.970173,2.754241,0.5599799
1.478611,0.6021528,0.907135,1.133436,6.374813,2.971517,0.6721805
2.009649,1.359724,1.851521,2.227049,4.769328,1.855476,0.8439249
1.809156,0.8653984,1.268345,1.571295,5.740957,2.454744,0.7804372
1.831692,1.943855,2.651955,3.030708,27.92365,1.769455,0.7015197
1.235031,1.40321,2.290993,2.707087,2.818849,1.175442,0.4675517
-0.1810131,2.308735,3.749626,4.239504,11.30575,1.148613,0.9354885
2.875906,1.581823,2.135509,2.55899,4.722421,2.091808,0.6957112
2.155743,1.652775,2.257881,2.545465,4.673189,1.956898,0.7733963
3.894148,1.812862,2.383684,2.750893,5.455648,1.983806,0.8571603
2.777596,1.766783,2.602201,3.284351,4.832871,1.82438,0.2761757
0.4399414,1.844082,2.823833,3.186506,2.460829,1.077344,0.6473712
2.601936,1.488588,2.235977,2.528717,2.935932,1.185932,0.745038
1.611565,1.067282,1.924187,2.044989,6.265283,2.502445,0.4811318
1.505754,0.7139111,1.0837,1.367888,10.16018,4.747838,0.2544822
2.047247,0.9611473,1.784334,1.996481,8.326049,2.114175,0.9409614
1.12534,1.521372,2.573187,2.91975,2.969402,3.17831,0.8943412
0.7523499,1.831495,2.902103,3.294476,2.316939,1.079761,0.862485
0.9632454,1.474834,2.21752,2.675097,3.031084,1.186594,0.5025826
1.310638,0.9045048,1.753439,1.855244,3.155915,1.361027,0.4728277
3.937283,1.739218,2.46817,2.904919,3.556988,1.412667,0.945178
2.53899,1.242548,2.072706,2.618254,2.116212,0.9807379,0.5407673
1.753305,1.915154,2.893093,3.525501,2.351274,1.194799,0.8031689
2.57328,1.660671,2.358503,2.740192,2.883915,1.352568,0.9224039
1.910465,1.373932,1.899914,2.251785,6.506861,2.51831,0.7304488
0.9835167,0.4760189,0.7481003,0.8283577,3.954633,1.763528,0.5612602
1.14831,0.4862118,0.8286381,1.029411,4.703801,2.294717,0.5499749
2.011917,1.916767,2.75256,3.121284,2.703674,1.486263,0.4210573
1.273743,1.263094,2.216122,2.652054,2.285713,1.241353,0.8999767
4.065351,1.908278,2.65045,3.103968,2.679207,1.201913,0.8788085
2.659998,1.721922,2.85606,3.24073,3.906649,1.690626,0.7180175
1.258064,0.9562836,1.680147,2.179335,8.721134,1.141943,0.770774
2.243498,1.142403,1.629913,1.962715,5.598348,2.419668,0.9175797
1.725655,1.743439,2.377186,2.707516,2.583532,1.209616,0.6574473
1.065695,0.4577198,0.8109646,0.984005,6.354981,3.091313,0.578581
1.695921,0.8292751,1.225004,1.517631,5.383098,2.374815,0.7312046
2.967897,1.882111,2.752232,3.072199,2.842492,1.223403,0.2044895
-0.09206581,1.766014,3.192215,3.614382,3.213347,2.562882,0.3840134
3.844599,1.795702,2.733603,3.258873,2.303351,0.8935918,0.8130758
0.8366394,1.498398,2.331955,2.634136,2.304482,1.094576,0.2373678
2.772507,1.838827,2.691254,3.131666,3.562259,1.399914,0.4311545
0.4444427,1.073957,1.97286,2.527714,3.254143,1.27271,0.3999996
1.910223,1.880165,2.717777,3.064451,2.940345,1.144046,0.6512039
3.277523,1.746462,2.365988,2.686613,6.00411,2.076716,0.6547384
1.444183,0.8302402,1.312681,1.603363,3.156121,1.469769,0.4514936
1.278593,0.8479176,1.291674,1.543932,3.987218,1.73697,0.513863
1.654703,0.9480228,1.401844,1.686296,3.223985,1.608153,0.4936163
1.915415,0.9725399,1.40551,1.748298,4.82791,2.047616,0.8370284
0.006986618,1.752483,2.990685,3.534391,2.969787,5.549275,0.5815428
0.5921574,2.93828,4.318295,4.700294,5.728787,1.606351,0.5024028
